city,num_companies
"San Francisco",152
"New York",103
Beijing,63
Shanghai,44
London,34
Bengaluru,29
Shenzhen,19
Paris,19
"Palo Alto",18
Berlin,17
"Mountain View",16
Boston,16
Chicago,16
,16
Hangzhou,16
"Tel Aviv",11
"Sao Paulo",11
"San Mateo",11
Seoul,10
"Redwood City",10
